"","id","sex","FID","dad","mom","pheno","population"
"NA19919","NA19919",1,"2427","NA19908","NA19909",0,"ASW"
"NA19916","NA19916",1,"2431","0","0",0,"ASW"
"NA19835","NA19835",0,"2424","0","0",0,"ASW"
"NA20282","NA20282",0,"2469","0","0",0,"ASW"
"NA19703","NA19703",1,"2368","0","0",0,"ASW"
"NA19902","NA19902",0,"2425","NA19900","NA19901",0,"ASW"
"NA19901","NA19901",0,"2425","0","0",0,"ASW"
"NA19908","NA19908",1,"2427","0","0",0,"ASW"
"NA19914","NA19914",0,"2430","0","0",0,"ASW"
"NA20287","NA20287",0,"2470","0","0",0,"ASW"
"NA20335","NA20335",1,"2484","0","NA20334",0,"ASW"
"NA19713","NA19713",0,"2436","0","0",0,"ASW"
"NA19904","NA19904",1,"2426","0","0",0,"ASW"
"NA19917","NA19917",0,"2431","0","0",0,"ASW"
"NA19982","NA19982",1,"2436","0","0",0,"ASW"
"NA20340","NA20340",1,"2487","0","0",0,"ASW"
"NA20297","NA20297",1,"2475","0","NA20296",0,"ASW"
"NA19909","NA19909",0,"2427","0","0",0,"ASW"
"NA19834","NA19834",1,"2424","0","0",0,"ASW"
"NA20317","NA20317",0,"2480","0","0",0,"ASW"
"NA19818","NA19818",1,"2418","0","0",0,"ASW"
"NA20290","NA20290",0,"2471","0","NA20289",0,"ASW"
"NA20295","NA20295",1,"2474","0","NA20294",0,"ASW"
"NA20346","NA20346",1,"2490","0","0",0,"ASW"
"NA19921","NA19921",0,"2433","0","0",0,"ASW"
"NA20281","NA20281",1,"2469","0","0",0,"ASW"
"NA20359","NA20359",0,"2495","0","0",0,"ASW"
"NA20301","NA20301",0,"2477","0","0",0,"ASW"
"NA20349","NA20349",1,"2492","0","0",0,"ASW"
"NA20294","NA20294",0,"2474","0","0",0,"ASW"
"NA20337","NA20337",0,"2485","0","NA20336",0,"ASW"
"NA20357","NA20357",0,"2494","0","0",0,"ASW"
"NA19900","NA19900",1,"2425","0","0",0,"ASW"
"NA20128","NA20128",0,"2446","NA20126","NA20127",0,"ASW"
"NA20348","NA20348",1,"2491","0","0",0,"ASW"
"NA20289","NA20289",0,"2471","0","0",0,"ASW"
"NA20344","NA20344",0,"2489","0","0",0,"ASW"
"NA20333","NA20333",0,"2483","0","NA20332",0,"ASW"
"NA20277","NA20277",0,"2466","0","NA20276",0,"ASW"
"NA20300","NA20300",0,"2476","0","NA20299",0,"ASW"
"NA19819","NA19819",0,"2418","0","0",0,"ASW"
"NA20343","NA20343",1,"2488","NA20342","0",0,"ASW"
"NA19625","NA19625",0,"2357","0","0",0,"ASW"
"NA20332","NA20332",0,"2483","0","0",0,"ASW"
"NA19700","NA19700",1,"2367","0","0",0,"ASW"
"NA20291","NA20291",1,"2472","0","0",0,"ASW"
"NA20342","NA20342",1,"2488","0","0",0,"ASW"
"NA20334","NA20334",0,"2484","0","0",0,"ASW"
"NA20356","NA20356",1,"2494","0","0",0,"ASW"
"NA20292","NA20292",0,"2472","NA20291","0",0,"ASW"
"NA20350","NA20350",1,"2492","NA20349","0",0,"ASW"
"NA20279","NA20279",1,"2467","NA20278","0",0,"ASW"
"NA20288","NA20288",1,"2470","0","NA20287",0,"ASW"
